#,Ник,Ур.,Защита лагеря
1,[WINX] Связист,21,108
2,[Наёмник] Sof,24,107
3,"""Наёмник"" Neutral",26,105
4,Singls,20,104
5,100 ренген,20,102
6,[WINX] Aetemus,21,97
7,"""Наёмник"" Леший",22,96
8,Pshmisl,21,92
9,🛡Д.О.Л.Г🛡НичегоСвятого,21,90
10,"""Наемник"" Трифоныч",19,82
11,"""Наёмник"" Хмырь",21,78
12,Меченый,22,76
13,[Вольный сталкер] Фунт,19,76
14,✪✪✪ⓅⓄⓂⒺⓄ✪✪✪,19,73
15,"""Наемник""DemanTV",21,71
16,Петя кок,17,64
17,"""Учёные"" Ежик",15,63
18,🛡Д.О.Л.Г.🛡Василий Петечкин,16,62
19,Евгений Медведчук,19,62
20,Shuffle,20,59
21,"""Учёные"" Камень",18,54
22,🛡Д.О.Л.Г🛡 Изгой,21,53
23,📡🛡Д.О.Л.Г🛡 Скиф,19,51
24,Евгений Малыгин,17,50
25,Расан Дерден,21,49
26,"""Наёмник"" LORD",19,45
27,"""Наёмник"" SA",20,43
28,📡🛡Д.О.Л.Г🛡 Экзарх,15,43
29,"""Наёмник"" Ымгыр",25,42
30,"""Наемник"" Ной",21,40
31,Проводник,19,40
32,🛡Д.О.Л.Г🛡 Пуля,15,40
33,«Cвобода» Чехов,17,36
34,"📡"" LEGION "" АНОНИМ",20,35
35,«Свобода» Локи,15,35
36,Ведьма,13,32
37,",,Наёмник,,☠Donat Mario☣",18,31
38,«Свобода» Dark Angel,19,29
39,"""Учёные"" Сахарок",17,29
40,🛡Д.О.Л.Г🛡 Дин Винчестер,17,27
41,Damien Insanity,16,26
42,"""Наёмник"" JAZZ",20,25
43,*Монолит* Серега,18,25
44,Павел Громов,15,25
45,🛡Д.О.Л.Г.🛡 Белый,19,22
46,📡Слава Придумкин,14,22
47,Rock89 LEGION,15,21
48,"""Наёмник"" Хатчет",18,19
49,Прогресс,15,19
50,Дмитрий Василенков,15,19
51,GoDeZ,17,16
52,Рафик Шамгуллин,14,16
53,"""Свобода""Позитивный",16,14
54,"""Свобода"" Маслина",19,13
55,Д. О. Л. Г. Инквизиция,13,13
56,"""Наёмник"" SEGA",20,11
57,Far Easterner,18,11
58,“Наёмник”Сергей Копылов,16,9
59,Burton,13,9
60,ALLKATRAS,14,7
61,"""Наёмник "" САСНЫЧ",22,6
62,🛡Д.О.Л.Г🛡 Sokolik174,16,6
63,📡AlazavR,14,6
64,🛡Д.О.Л.Г🛡 Фенрир,18,5
65,"""Наёмник""Кац",20,5
66,🛡Д.О.Л.Г.🛡 Вольный стрелок,18,5
67,"""Наёмник""Шрам",20,4
68,Алексей Ефремкин(Свобода),15,4
69,Fortnox Pockets,18,3
70,🛡Д.О.Л.Г🛡 ПЕТРОВИЧ.,17,2
71,🛡Д.О.Л.Г🛡 PULSAR,16,2
72,Бандерос,16,2
73,"""Наёмник"" Игорь Иванов",19,1
74,No Name,17,1
75,📡Илья Котов,14,1
76,📡Воробей,12,1
77,Иван Козлов,19,0
78,📡Посланник,13,0
79,Чёрный дельфин,20,0
80,📡ИНКВИЗИТОР,14,0
81,📡Kappa,14,0
82,📡Кир,16,0
83,📡Dimon Офицеров,13,0
84,📡Виталий Шабалин,13,0
85,📡Ашак,12,0
86,📡хитрый лис,12,0
87,📡Бродяга,14,0
88,📡ВОВА,12,0
89,📡Гол,12,0
90,📡Валера,12,0
91,📡лолита,12,0
92,📡Владимир,12,0
93,📡кол,12,0
94,📡Антей,12,0
95,📡Вектор,12,0
96,📡Сергей,12,0
97,📡Метро,12,0
98,📡Бетон,12,0
99,📡жека,12,0
100,📡Алеша,12,0
