#,Ник,Ур.,Экспедиции
1,"""Наёмник"" Neutral",26,126
2,[Наёмник] Sof,24,118
3,[Вольный сталкер] Фунт,19,117
4,[WINX] Связист,21,114
5,[WINX] Aetemus,21,113
6,🛡Д.О.Л.Г🛡НичегоСвятого,21,106
7,"""Наёмник"" JAZZ",20,106
8,Singls,20,103
9,🛡Д.О.Л.Г🛡 Изгой,21,102
10,Евгений Медведчук,19,100
11,"""Наёмник"" Хмырь",21,99
12,"""Наёмник"" LORD",19,97
13,Shuffle,20,96
14,Чёрный дельфин,20,95
15,"""Наёмник"" Леший",22,91
16,Расан Дерден,21,90
17,100 ренген,20,90
18,"""Наёмник""Кац",20,89
19,Иван Козлов,19,88
20,Меченый,22,87
21,🛡Д.О.Л.Г.🛡 Белый,19,85
22,"""Наёмник"" Ымгыр",25,84
23,"""Наемник"" Ной",21,83
24,«Свобода» Dark Angel,19,83
25,"""Учёные"" Сахарок",17,82
26,"""Наёмник"" Игорь Иванов",19,80
27,"""Свобода"" Маслина",19,80
28,Far Easterner,18,79
29,"""Наемник"" Трифоныч",19,78
30,📡🛡Д.О.Л.Г🛡 Скиф,19,75
31,"""Наёмник"" Хатчет",18,75
32,🛡Д.О.Л.Г🛡 Фенрир,18,72
33,*Монолит* Серега,18,72
34,"""Наёмник"" SEGA",20,70
35,🛡Д.О.Л.Г🛡 ПЕТРОВИЧ.,17,69
36,"""Наёмник""Шрам",20,68
37,Проводник,19,66
38,🛡Д.О.Л.Г🛡 PULSAR,16,62
39,«Свобода» Локи,15,62
40,📡Слава Придумкин,14,62
41,",,Наёмник,,☠Donat Mario☣",18,61
42,Pshmisl,21,61
43,Евгений Малыгин,17,59
44,📡🛡Д.О.Л.Г🛡 Экзарх,15,57
45,"""Наемник""DemanTV",21,56
46,"""Учёные"" Камень",18,56
47,“Наёмник”Сергей Копылов,16,52
48,Петя кок,17,52
49,Ведьма,13,51
50,✪✪✪ⓅⓄⓂⒺⓄ✪✪✪,19,50
51,"📡"" LEGION "" АНОНИМ",20,49
52,"""Наёмник"" SA",20,48
53,🛡Д.О.Л.Г🛡 Пуля,15,47
54,🛡Д.О.Л.Г🛡 Sokolik174,16,45
55,GoDeZ,17,43
56,Damien Insanity,16,43
57,🛡Д.О.Л.Г.🛡Василий Петечкин,16,39
58,Прогресс,15,37
59,No Name,17,36
60,"""Наёмник "" САСНЫЧ",22,33
61,🛡Д.О.Л.Г.🛡 Вольный стрелок,18,33
62,🛡Д.О.Л.Г🛡 Дин Винчестер,17,32
63,«Cвобода» Чехов,17,30
64,Rock89 LEGION,15,29
65,Fortnox Pockets,18,25
66,Павел Громов,15,23
67,📡AlazavR,14,19
68,📡жека,12,18
69,Дмитрий Василенков,15,18
70,"""Учёные"" Ежик",15,16
71,Бандерос,16,15
72,📡ВОВА,12,15
73,📡Воробей,12,13
74,"""Свобода""Позитивный",16,12
75,📡Владимир,12,12
76,📡Сергей,12,12
77,ALLKATRAS,14,11
78,📡Антей,12,11
79,📡Бетон,12,11
80,📡Алеша,12,11
81,Burton,13,11
82,📡хитрый лис,12,10
83,📡кол,12,10
84,📡Вектор,12,10
85,📡Илья Котов,14,9
86,📡Гол,12,9
87,📡Валера,12,9
88,📡лолита,12,9
89,📡Ашак,12,7
90,📡Метро,12,7
91,Алексей Ефремкин(Свобода),15,4
92,Рафик Шамгуллин,14,3
93,📡Посланник,13,2
94,📡Dimon Офицеров,13,2
95,Д. О. Л. Г. Инквизиция,13,1
96,📡Виталий Шабалин,13,1
97,📡Бродяга,14,1
98,📡ИНКВИЗИТОР,14,0
99,📡Kappa,14,0
100,📡Кир,16,0
