#,Ник,Ур.,Таланты
1,"""Наёмник"" Ымгыр",25,90
2,"""Наёмник"" Neutral",26,81
3,"""Наемник"" Трифоныч",19,63
4,"""Наёмник "" САСНЫЧ",22,62
5,"""Наемник"" Ной",21,55
6,“Наёмник”Сергей Копылов,16,38
7,"📡"" LEGION "" АНОНИМ",20,37
8,"""Наёмник"" Леший",22,35
9,Fortnox Pockets,18,34
10,🛡Д.О.Л.Г🛡 Изгой,21,30
11,🛡Д.О.Л.Г🛡 Фенрир,18,30
12,"""Наёмник""Шрам",20,28
13,[Наёмник] Sof,24,27
14,[WINX] Aetemus,21,25
15,",,Наёмник,,☠Donat Mario☣",18,25
16,"""Наёмник"" Хмырь",21,24
17,🛡Д.О.Л.Г🛡НичегоСвятого,21,24
18,[WINX] Связист,21,24
19,📡🛡Д.О.Л.Г🛡 Скиф,19,24
20,"""Наемник""DemanTV",21,23
21,"""Наёмник"" JAZZ",20,23
22,Shuffle,20,23
23,Меченый,22,22
24,"""Наёмник"" SEGA",20,22
25,Расан Дерден,21,22
26,100 ренген,20,22
27,"""Наёмник"" Игорь Иванов",19,22
28,"""Свобода"" Маслина",19,22
29,"""Наёмник"" SA",20,21
30,«Свобода» Dark Angel,19,21
31,"""Наёмник"" LORD",19,20
32,"""Наёмник"" Хатчет",18,20
33,Проводник,19,20
34,"""Наёмник""Кац",20,19
35,🛡Д.О.Л.Г.🛡 Вольный стрелок,18,19
36,✪✪✪ⓅⓄⓂⒺⓄ✪✪✪,19,18
37,🛡Д.О.Л.Г.🛡 Белый,19,18
38,*Монолит* Серега,18,18
39,"""Учёные"" Камень",18,18
40,[Вольный сталкер] Фунт,19,17
41,Иван Козлов,19,17
42,Евгений Малыгин,17,17
43,🛡Д.О.Л.Г🛡 ПЕТРОВИЧ.,17,17
44,📡Посланник,13,17
45,Pshmisl,21,16
46,Far Easterner,18,16
47,«Cвобода» Чехов,17,16
48,No Name,17,16
49,🛡Д.О.Л.Г🛡 PULSAR,16,16
50,Чёрный дельфин,20,15
51,Singls,20,15
52,GoDeZ,17,15
53,🛡Д.О.Л.Г🛡 Пуля,15,15
54,Алексей Ефремкин(Свобода),15,14
55,ALLKATRAS,14,14
56,🛡Д.О.Л.Г.🛡Василий Петечкин,16,13
57,Прогресс,15,13
58,📡Илья Котов,14,13
59,Павел Громов,15,13
60,🛡Д.О.Л.Г🛡 Дин Винчестер,17,12
61,Евгений Медведчук,19,11
62,📡ИНКВИЗИТОР,14,11
63,Бандерос,16,11
64,🛡Д.О.Л.Г🛡 Sokolik174,16,11
65,📡Kappa,14,11
66,«Свобода» Локи,15,11
67,Rock89 LEGION,15,11
68,📡Кир,16,10
69,"""Учёные"" Сахарок",17,10
70,"""Учёные"" Ежик",15,10
71,📡Слава Придумкин,14,10
72,📡🛡Д.О.Л.Г🛡 Экзарх,15,10
73,📡AlazavR,14,10
74,Damien Insanity,16,9
75,Петя кок,17,9
76,📡Dimon Офицеров,13,9
77,Ведьма,13,9
78,Д. О. Л. Г. Инквизиция,13,9
79,"""Свобода""Позитивный",16,8
80,📡Виталий Шабалин,13,8
81,Рафик Шамгуллин,14,8
82,📡Ашак,12,8
83,📡хитрый лис,12,8
84,📡Бродяга,14,7
85,📡ВОВА,12,7
86,📡Гол,12,7
87,📡Валера,12,7
88,📡лолита,12,7
89,📡Владимир,12,6
90,📡кол,12,6
91,📡Антей,12,6
92,📡Вектор,12,6
93,📡Сергей,12,6
94,📡Метро,12,6
95,📡Воробей,12,6
96,📡Бетон,12,6
97,📡жека,12,6
98,Дмитрий Василенков,15,5
99,📡Алеша,12,5
100,Burton,13,4
